Entity,Day,0 or 1 dose,3 doses,2 doses,4 doses
03-05,2021-10-10,0,,,
03-05,2021-10-17,0.14145772182339000,,,
03-05,2021-10-24,0,,,
03-05,2021-10-31,0,,,
03-05,2021-11-07,0,,,
03-05,2021-11-14,0,,,
03-05,2021-11-21,0,,0,
03-05,2021-11-28,0,,0,
03-05,2021-12-05,0,,0,
03-05,2021-12-12,0,,0,
03-05,2021-12-19,0,,0,
03-05,2021-12-26,0,,0,
03-05,2022-01-02,0,,0,
03-05,2022-01-09,0,,0,
03-05,2022-01-16,0,,0,
03-05,2022-01-23,0,,0,
03-05,2022-01-30,0,,0,
03-05,2022-02-06,0,,0,
03-05,2022-02-13,0.2079944756667260,,0,
03-05,2022-02-20,0,,0,
03-05,2022-02-27,0.23036219848467700,,0,
03-05,2022-03-06,0,,0,
03-05,2022-03-13,0,,0,
03-05,2022-03-20,0,,0,
03-05,2022-03-27,0,,0,
03-05,2022-04-03,0,,0,
03-05,2022-04-10,0,,0,
03-05,2022-04-17,0,0,0,
03-05,2022-04-24,0,0,0,
03-05,2022-05-01,0,0,0,
03-05,2022-05-08,0,0,0.2504627298934780,
03-05,2022-05-15,0,0,0,
03-05,2022-05-22,0,0,0,
03-05,2022-05-29,0,0,0,
03-05,2022-06-05,0,0,0,
03-05,2022-06-12,0,0,0,
03-05,2022-06-19,0,0,0,
03-05,2022-06-26,0,0,0,
03-05,2022-07-03,0,0,0,
03-05,2022-07-10,0,0,0,
03-05,2022-07-17,0,0,0,
03-05,2022-07-24,0,0,0,
03-05,2022-07-31,0,0,0,
03-05,2022-08-07,0,0,0,
06-11,2021-10-10,0,,0,
06-11,2021-10-17,0,,0,
06-11,2021-10-24,0,,0,
06-11,2021-10-31,0,,0,
06-11,2021-11-07,0,,0,
06-11,2021-11-14,0,,0,
06-11,2021-11-21,0.10163799797537100,,0,
06-11,2021-11-28,0,,0,
06-11,2021-12-05,0,,0,
06-11,2021-12-12,0,,0,
06-11,2021-12-19,0,,0,
06-11,2021-12-26,0,0,0,
06-11,2022-01-02,0,0,0,
06-11,2022-01-09,0,0,0,
06-11,2022-01-16,0,0,0,
06-11,2022-01-23,0,0,0,
06-11,2022-01-30,0,0,0,
06-11,2022-02-06,0,0,0,
06-11,2022-02-13,0,0,0,
06-11,2022-02-20,0,0,0,
06-11,2022-02-27,0,0,0,
06-11,2022-03-06,0,0,0.07804683122060560,
06-11,2022-03-13,0,0,0,
06-11,2022-03-20,0,0,0,
06-11,2022-03-27,0.46685122851900800,0,0,
06-11,2022-04-03,0,0,0,
06-11,2022-04-10,0,0,0.08813515702600250,
06-11,2022-04-17,0,0,0.09094646163696360,
06-11,2022-04-24,0,0,0,
06-11,2022-05-01,0,0,0,
06-11,2022-05-08,0,0,0,
06-11,2022-05-15,0,0,0,
06-11,2022-05-22,0,0,0,
06-11,2022-05-29,0,0,0,
06-11,2022-06-05,0,0,0,
06-11,2022-06-12,0,0,0,
06-11,2022-06-19,0,0,0,0
06-11,2022-06-26,0,0,0,0
06-11,2022-07-03,0,0,0,0
06-11,2022-07-10,0,0,0,0
06-11,2022-07-17,0,0,0,0
06-11,2022-07-24,0,0,0,0
06-11,2022-07-31,0,0,0,0
06-11,2022-08-07,0,0,0,0
12-20,2021-10-10,0,0,0,
12-20,2021-10-17,0,0,0,
12-20,2021-10-24,0,0,0,
12-20,2021-10-31,0,0,0,
12-20,2021-11-07,0,0,0,
12-20,2021-11-14,0,0,0,
12-20,2021-11-21,0,0,0,
12-20,2021-11-28,0,0,0,
12-20,2021-12-05,0,0,0.053235096834641100,
12-20,2021-12-12,0,0,0,
12-20,2021-12-19,0,0,0,
12-20,2021-12-26,0,0,0,
12-20,2022-01-02,0,0,0,
12-20,2022-01-09,0,0,0,
12-20,2022-01-16,0,0,0,
12-20,2022-01-23,0,0,0,
12-20,2022-01-30,0,0,0,0
12-20,2022-02-06,1.6116554925219200,0.09131552802290920,0,0
12-20,2022-02-13,0,0,0.09546821910720030,0
12-20,2022-02-20,0,0.08784482387552040,0,0
12-20,2022-02-27,1.0453143782992700,0,0,0
12-20,2022-03-06,0,0.0843802816782563,0,0
12-20,2022-03-13,1.1689207354849300,0,0,0
12-20,2022-03-20,2.4828065645405600,0,0.11352103658328900,0
12-20,2022-03-27,1.2860909266285100,0.0747887777943144,0.11728925759418600,0
12-20,2022-04-03,0,0,0.12138073008081500,0
12-20,2022-04-10,0,0.07173657754831640,0,0
12-20,2022-04-17,0,0,0,0
12-20,2022-04-24,0,0,0,0
12-20,2022-05-01,0,0,0,0
12-20,2022-05-08,0,0,0,0
12-20,2022-05-15,0,0,0,0
12-20,2022-05-22,0,0,0,0
12-20,2022-05-29,0,0,0,0
12-20,2022-06-05,0,0,0,0
12-20,2022-06-12,0,0,0,0
12-20,2022-06-19,0,0,0,0
12-20,2022-06-26,0,0,0,0
12-20,2022-07-03,0,0,0,0
12-20,2022-07-10,1.9534302234724200,0.07963273383156880,0,0
12-20,2022-07-17,1.9988806268489600,0.08223785655250680,0,0
12-20,2022-07-24,0,0,0,0.15439770997316600
12-20,2022-07-31,0,0,0,0
12-20,2022-08-07,0,0,0,0
21-30,2021-10-10,0.22972609757386300,0,0,
21-30,2021-10-17,0,0,0,
21-30,2021-10-24,0.2535914894696130,0,0,
21-30,2021-10-31,0,0,0.04221726779130650,
21-30,2021-11-07,0,0,0.04311729413108950,
21-30,2021-11-14,0.573394495412844,0,0,
21-30,2021-11-21,0.2999832009407470,0,0,
21-30,2021-11-28,0.6310422293459880,0,0,
21-30,2021-12-05,0.33152211749806900,0,0.052369730295889000,
21-30,2021-12-12,0,0,0.05561685769203390,
21-30,2021-12-19,0.3641103691350920,0,0,
21-30,2021-12-26,0,0,0.06776596616987440,
21-30,2022-01-02,0.400156861489704,0,0,
21-30,2022-01-09,0,0,0,
21-30,2022-01-16,0,0.049316108860378700,0,
21-30,2022-01-23,0,0,0.13103377788726400,
21-30,2022-01-30,0.503316858094845,0,0.13831009954177900,0
21-30,2022-02-06,0,0.04650723675857580,0,0
21-30,2022-02-13,2.107126301150490,0.04639210888784660,0.15117249386239700,0
21-30,2022-02-20,0.5408445829006580,0,0.15754953751333300,0
21-30,2022-02-27,1.667991793480380,0.13681443994324900,0.4895952842182220,0
21-30,2022-03-06,1.1407906820217100,0.045358262234257300,0.16778805013506900,0
21-30,2022-03-13,0.5848568855201130,0.09024834992173210,0,0
21-30,2022-03-20,0.598175564528189,0,0.17774554658533000,0
21-30,2022-03-27,0.6107877329391720,0.04463325302323340,0,0
21-30,2022-04-03,0,0,0.18804485998179700,0
21-30,2022-04-10,0,0,0,0
21-30,2022-04-17,0,0.04438134403574650,0,0
21-30,2022-04-24,0,0,0,0
21-30,2022-05-01,0,0.044757568392921300,0,0
21-30,2022-05-08,0,0,0,0
21-30,2022-05-15,0,0,0.21434619053232900,0
21-30,2022-05-22,0,0.04754334050920820,0,0
21-30,2022-05-29,0,0,0,0
21-30,2022-06-05,0,0,0.23360829029100600,0
21-30,2022-06-12,0,0,0,0
21-30,2022-06-19,0,0,0,0.10122195139726800
21-30,2022-06-26,0,0,0,0
21-30,2022-07-03,0,0.07787792012996270,0,0
21-30,2022-07-10,0.7530404006174930,0.08323858008300550,0,0.07364496938578620
21-30,2022-07-17,0,0.08893742896122860,0,0.06928432068109260
21-30,2022-07-24,0,0.09650367196471830,0.2873654052283260,0
21-30,2022-07-31,0,0.10336227132389500,0,0
21-30,2022-08-07,0,0.11048344239890500,0,0
